ticker,asof,px_cagr_2y,px_cagr_1y,px_momentum_3m,px_momentum_6m,px_momentum_12m,px_vol_60d,px_vol_250d,px_maxdd_2y,px_beta_spy_1y,size_log_mcap,valuation_pe,valuation_ps,valuation_pb,quality_roe,quality_profit_margin,quality_op_margin,leverage_dte,forward_90d_return,trailing_sharpe_1y,realized_vol_90d
AAPL,2022-11-29,0.09546299452621643,-0.14102041060360504,-0.1005968185189815,-0.04780715112192779,-0.14102041060360504,0.42130269143140314,0.35464536008192316,-0.28346226487455717,0.0,29.016122333920183,36.24397,9.6002035,30.0,1.7142199,0.26915002,0.31647,152.411,0.049414598380607896,-0.16470042449941497,0.4185293070519722
AAPL,2022-12-30,-0.004533058768467213,-0.2640418372129163,-0.08637731002803217,-0.07935637747261948,-0.2640418372129163,0.4052128846969305,0.35672098459615403,-0.3034914684736323,0.0,29.016122333920183,36.24397,9.6002035,30.0,1.7142199,0.26915002,0.31647,152.411,0.2515040482705529,-0.6930472792788848,0.40234053164836897
AAPL,2023-01-30,0.04722014842988331,-0.15558073426602181,-0.08027992929116201,-0.11190515728956685,-0.15558073426602181,0.3613349259133281,0.3526211215782741,-0.30912811710923704,0.0,29.016122333920183,36.24397,9.6002035,30.0,1.7142199,0.26915002,0.31647,152.411,0.1883849659507369,-0.38147560012586856,0.35617070623616665
AAPL,2023-02-27,0.11109936449496716,-0.09726389916668743,0.00024175815220717212,-0.09307182786344126,-0.09726389916668743,0.2938516152453386,0.35383368146973243,-0.30912811710923704,0.0,29.016122333920183,36.24397,9.6002035,30.0,1.7142199,0.26915002,0.31647,152.411,0.18761910680796104,-0.12007265596732275,0.2789581369173342
AAPL,2023-03-30,0.1598212258898415,-0.08115244292981072,0.25459381353351174,0.14316128950844953,-0.08115244292981072,0.23046923221762722,0.34750179525087105,-0.30912811710923704,0.0,29.016122333920183,36.24397,9.6002035,30.0,1.7142199,0.26915002,0.31647,152.411,0.16723168712778236,-0.07187775333726334,0.2304699095169656
AAPL,2023-04-28,0.13424148036488703,0.043191563614754624,0.1883851823701299,0.17555929083937172,0.043191563614754624,0.22740057389000043,0.3385172138532993,-0.30912811710923704,0.0,29.016122333920183,36.24397,9.6002035,30.0,1.7142199,0.26915002,0.31647,152.411,0.140306882720931,0.294010500741108,0.224240421461178
AAPL,2023-05-30,0.19979696442419614,0.19191858948461338,0.22183753065012546,0.2329518698021933,0.19191858948461338,0.19808581884033655,0.31345492174253176,-0.30912811710923704,0.0,29.01619627843526,36.246647,9.600913,30.0,1.7142199,0.26915002,0.31647,152.411,0.01767240227765214,0.7374936166298688,0.20711862695362565
AAPL,2023-06-29,0.1861560760552874,0.36983463243228787,0.16932875759542143,0.5085853058398766,0.36983463243228787,0.1813052438423473,0.29563528182262727,-0.30912811710923704,0.0,29.01619627843526,36.246647,9.600913,30.0,1.7142199,0.26915002,0.31647,152.411,-0.09984630353741125,1.2155264120198255,0.18130604549913562
AAPL,2023-07-28,0.1690023518194428,0.25198165116981497,0.15570990370546345,0.3458526683057166,0.25198165116981497,0.16511578460479515,0.2884900749017008,-0.30912811710923704,0.0,29.01619627843526,36.246647,9.600913,30.0,1.7142199,0.26915002,0.31647,152.411,-0.14663046935512883,0.9225895734994476,0.16470230089926644
AAPL,2023-08-30,0.11341273003042796,0.18786253402345543,0.04338632878840576,0.2895848491031814,0.18786253402345543,0.1945200944052401,0.28857344642760624,-0.30912811710923704,0.0,29.01619627843526,36.246647,9.600913,30.0,1.7142199,0.26915002,0.31647,152.411,0.015991654172010768,0.742663059185584,0.19364647282342676
AAPL,2023-09-29,0.10116560823493193,0.20877068433447232,-0.10921155836776264,0.04110573871214518,0.20877068433447232,0.2169736431784966,0.27578154680897926,-0.30912811710923704,0.0,29.01619627843526,36.246647,9.600913,30.0,1.7142199,0.26915002,0.31647,152.411,0.1321478914656699,0.8244534560046402,0.21372692183190353
AAPL,2023-10-30,0.06257052655001094,0.0999113651459409,-0.1145500452864987,0.013147046081123381,0.0999113651459409,0.2038788110254327,0.25199427325327095,-0.30912811710923704,0.0,29.01619627843526,36.246647,9.600913,30.0,1.7142199,0.26915002,0.31647,152.411,0.13144361425829035,0.5680084886582518,0.22206192068570144
AAPL,2023-11-29,0.09329416394812218,0.3489302320177248,0.009312284550438976,0.05433702648864602,0.3489302320177248,0.19467254988231936,0.21787693999867544,-0.30912811710923704,0.0,29.01620001816343,36.246784,9.601801,30.0,1.7142199,0.26915002,0.31647,152.411,-0.034361007745424686,1.461685277377539,0.19305902127272193
AAPL,2023-12-29,0.04190751427027162,0.4937593667998528,0.10954631285246652,0.003034021833797862,0.4937593667998528,0.1559392625250334,0.2030015259270595,-0.30912811710923704,0.0,29.01620001816343,36.246784,9.601801,30.0,1.7142199,0.26915002,0.31647,152.411,-0.10819713168087708,2.091059364713909,0.1549902169097749
AAPL,2024-01-30,0.09293243769798964,0.32231491705293913,0.10568870142542375,-0.03613329800712717,0.32231491705293913,0.18257795463570112,0.20066924170611852,-0.2982477748018524,0.0,29.01620001816343,36.246784,9.601801,30.0,1.7142199,0.26915002,0.31647,152.411,-0.07614642637069116,1.500038027756241,0.1796161982020054
AAPL,2024-02-28,0.05503183854761029,0.23728625607597476,-0.04594789893106099,-0.012107091518826496,0.23728625607597476,0.17760021854352043,0.1915722777284357,-0.2982477748018524,0.0,29.01620001816343,36.246784,9.601801,30.0,1.7142199,0.26915002,0.31647,152.411,0.04865889370643339,1.2105133509643544,0.17843417149698612
AAPL,2024-03-28,-0.00617042100284293,0.07231020191324666,-0.11303436507274711,0.007235349437444194,0.07231020191324666,0.19975755869566042,0.193686438049849,-0.2982477748018524,0.0,29.01620001816343,36.246784,9.601801,30.0,1.7142199,0.26915002,0.31647,152.411,0.2452719514077182,0.45878461318620734,0.19975764735060397
AAPL,2024-04-29,0.05867553111120216,0.027970788845229633,-0.07614650820422053,0.034064118354986794,0.027970788845229633,0.20783071638743822,0.19675704279307685,-0.2825699296135217,0.0,29.01620001816343,36.246784,9.601801,30.0,1.7142199,0.26915002,0.31647,152.411,0.25795749048711597,0.24217726536628284,0.20817995094224093
AAPL,2024-05-30,0.137012528831866,0.08494153846260977,0.066177552435158,0.0127997209898425,0.08494153846260977,0.24024762371598907,0.20270359767407445,-0.2825699296135217,0.0,29.01619627843526,36.246647,9.600913,30.0,1.7142199,0.26915002,0.31647,152.411,0.18538432654999887,0.5044795314623157,0.24618727550668723
AAPL,2024-06-28,0.24490484098082854,0.11682340001570646,0.24040259093822391,0.09089151604938439,0.11682340001570646,0.27825361481570765,0.21884894830672166,-0.2825699296135217,0.0,29.01619627843526,36.246647,9.600913,30.0,1.7142199,0.26915002,0.31647,152.411,0.08148971345509745,0.6140786743567459,0.2745263388644214
